family,setting,mode,controller,seed,episodes,obs_noise,action_noise,delay,dropout,outlier_prob,excitation_scale,dither,forgetting,window,event_scale,scale_floor,fallback_cond,success,success_stderr,final_error,tail_error,path_efficiency,total_command,calibration_error,condition,excitation,overshoot_rate,event_count,peak_event_error,recovery_steps,initial_to_final_drift
F,event1.0,abrupt_bump,oracle,291000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,1.0,0.0,0.0014603359811730385,0.03848319869631461,0.26749795548896466,3.463196671216804,0.0,1.6112287087226627,1.920743802857052e-05,0.015625,3.0,0.06566123110981431,0.7916666666666666,1.4366338603735518
F,event1.0,abrupt_bump,oracle,292000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.0,0.45,,1.0,0.0,0.0010923401353027968,0.018726685903363616,0.16506962711533646,3.7479487563591505,0.0,1.6231919348655768,2.7695539859836033e-05,0.03125,3.0,0.07328483087412506,0.875,1.1213815001537808
F,event1.45,abrupt_bump,frozen_start_calibration,290000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.45,0.45,,0.625,0.1711632992203644,0.2158714961314938,0.26510509904762947,0.14237264501715025,4.2975332664011345,1.243268098976565,1.0825594060176584,0.00015136778201719323,0.0,3.0,0.23249296599254454,6.0625,1.2405207397314526
F,event1.45,abrupt_bump,frozen_start_calibration,291000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.45,0.45,,0.125,0.11692679333668567,0.4751677938112452,0.5840945078426176,0.2022469268322965,4.713309124198844,1.5360372600533188,1.1102445193418626,0.0002824632361357151,0.0,3.0,0.39682775296670736,9.6875,1.5348323298914845
F,event1.45,abrupt_bump,frozen_start_calibration,292000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.45,0.45,,0.25,0.15309310892394862,0.24328891411025522,0.3516867366875801,0.13968465484565462,4.433401536715955,1.2901100414131967,1.206575457243971,0.00025059928574737466,0.0,3.0,0.3457136306063824,8.604166666666666,1.284304537086475
F,event1.45,abrupt_bump,windowed_sysid,290000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.45,0.45,,0.875,0.11692679333668567,0.03756336385101581,0.07994112551780301,0.1308218463823856,4.97412854515386,0.35293103535627,2.942185233755535,0.0006448358732533872,0.12499999999999999,3.0,0.10474795046194826,1.8333333333333335,1.2405207397314526
F,event1.45,abrupt_bump,windowed_sysid,291000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.45,0.45,,1.0,0.0,0.0035771190888998984,0.031116425965887852,0.22672952801776652,4.345871523816275,0.4234402155293944,2.8367660372858987,0.000195233700031229,0.0890625,3.0,0.07123575608785848,0.8333333333333333,1.5348323298914845
F,event1.45,abrupt_bump,windowed_sysid,292000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.45,0.45,,1.0,0.0,0.016120197890597654,0.02928414497485156,0.13870832740117184,4.726155749105251,0.37901238122812925,2.5443523037589877,0.0004393188436680065,0.08281250000000001,3.0,0.05511322911042395,0.7083333333333334,1.284304537086475
F,event1.45,abrupt_bump,calibration_state,290000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.45,0.45,,0.875,0.11692679333668567,0.039584694218489376,0.07779134518846198,0.14284291583221811,4.698435953407412,0.45475363847740446,2.250583579272366,0.0006818648313172693,0.1203125,3.0,0.07400467812203464,1.5208333333333335,1.2405207397314526
F,event1.45,abrupt_bump,calibration_state,291000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.45,0.45,,1.0,0.0,0.0017418678567762329,0.0315583818550458,0.24974182660369096,4.0549686909422205,0.3530710548666777,1.8654179176950911,0.0003045185950970336,0.0796875,3.0,0.07492048423966095,1.0416666666666665,1.5348323298914845
