mode,controller,rows,episodes,success,final_error,tail_error,path_efficiency,total_command,calibration_error,condition,excitation,overshoot_rate,event_count,peak_event_error,recovery_steps,initial_to_final_drift,success_stderr
scale_only,robust_low_gain,4,48,0.33333333333333337,0.1690135871234726,0.28686652709865434,0.31616292688536235,2.0970906919203203,0.3397207621418363,1.0,1.8201337269968016e-06,0.0,0.0,0.0,nan,0.23185561238038316,0.13365938031916386
scale_only,windowed_sysid,4,48,1.0,0.003342514273137442,0.038617030186081494,0.16912073666966404,3.9247790860075824,0.41405197035014885,3.0428445571185425,8.524924859454917e-05,0.012500000000000002,0.0,0.0,nan,0.23185561238038316,0.0
severe_random_walk,calibration_state,4,48,1.0,0.0014522641463497,0.022058435134622755,0.19401435332797634,3.390009546499012,0.2958636369023687,1.4615452418274109,1.2687129199623333e-05,0.0,0.0,0.0,nan,0.5538583457862294,0.0
severe_random_walk,frozen_start_calibration,4,48,0.9791666666666666,0.00892169860381629,0.04362684974894555,0.18762719077892726,3.502565687747773,0.5305563535909071,1.3329328246789252,6.125070626970847e-05,0.0,0.0,0.0,nan,0.5538583457862294,0.019946398078257047
severe_random_walk,nominal_offline,4,48,0.8958333333333333,0.03629666651286584,0.08865091851438847,0.18005818212715002,3.6298438747157937,0.6841327014180184,1.0,6.3902305102756e-05,0.0,0.0,0.0,nan,0.5538583457862294,0.08673491191676709
severe_random_walk,oracle,4,48,1.0,0.0013977503565699597,0.023775493342997327,0.19857615149896857,3.320154067918143,0.0,1.4558822125897395,4.352310323459151e-06,0.0,0.0,0.0,nan,0.5538583457862294,0.0
severe_random_walk,residual_bias,4,48,0.875,0.040041148520861734,0.08703114994414615,0.18379181127295863,3.6231742350769327,0.6841327014180184,1.0,0.0001600848077790677,0.0,0.0,0.0,nan,0.5538583457862294,0.09368423152050599
severe_random_walk,robust_low_gain,4,48,0.45833333333333337,0.1456492919528515,0.24130603687797142,0.29911254409751753,2.131319104946036,0.6841327014180184,1.0,2.4541895674074462e-06,0.0,0.0,0.0,nan,0.5538583457862294,0.14126446301550405
severe_random_walk,windowed_sysid,4,48,1.0,0.004569669628067739,0.0242865195719292,0.17191310755523506,3.784931606516479,0.46631460227689214,2.222687506507913,7.981567092048897e-05,0.013541666666666667,0.0,0.0,nan,0.5538583457862294,0.0
shear_heavy,calibration_state,4,48,1.0,0.0015638056955134595,0.024749043846692704,0.1799283015698105,3.1869092286163987,0.14185465100262787,1.2483035577938881,4.599314197059257e-06,0.0,0.0,0.0,nan,0.23036336388717157,0.0
shear_heavy,frozen_start_calibration,4,48,1.0,0.001984572747379782,0.03339129882659177,0.1790260394596996,3.194148742353973,0.22820652206521744,1.156299659212357,1.4146862566229952e-05,0.0,0.0,0.0,nan,0.23036336388717157,0.0
shear_heavy,nominal_offline,4,48,0.9791666666666666,0.003278164914682045,0.047721619607701014,0.17736503344174132,3.226094706338882,0.3481780315328568,1.0,1.846645392919561e-05,0.0,0.0,0.0,nan,0.23036336388717157,0.019946398078257047
shear_heavy,oracle,4,48,1.0,0.001541521659062115,0.024775303338815228,0.1809740685427374,3.1729465350742307,0.0,1.2919709482085862,3.091173489760155e-06,0.0,0.0,0.0,nan,0.23036336388717157,0.0
shear_heavy,residual_bias,4,48,0.9791666666666666,0.010934488068766719,0.07518308266992937,0.18094531876205183,3.1786134363704357,0.3481780315328568,1.0,1.2258696384768512e-05,0.0,0.0,0.0,nan,0.23036336388717157,0.019946398078257047
shear_heavy,robust_low_gain,4,48,0.47916666666666674,0.15755976836212932,0.27138163462393855,0.2612319347973763,2.1327691612994113,0.3481780315328568,1.0,2.144608828289018e-06,0.0,0.0,0.0,nan,0.23036336388717157,0.1325804905379181
shear_heavy,windowed_sysid,4,48,1.0,0.0031476539594480165,0.024073892429165415,0.15408302854230377,3.657889160942437,0.3762279440843707,3.0124730438896394,8.757926333049637e-05,0.012760416666666668,0.0,0.0,nan,0.23036336388717157,0.0
sinusoidal,calibration_state,4,48,1.0,0.0014750265721189218,0.016201545288802043,0.19801506483554993,3.225759658941128,0.4087540409432065,1.5607683870425806,4.178952237131529e-05,0.00078125,0.0,0.0,nan,0.3886890138291907,0.0
sinusoidal,frozen_start_calibration,4,48,1.0,0.0012982006028026947,0.017977897138276355,0.19508490947140808,3.260317745731456,0.19388526489425723,1.165679957808451,3.067579261666948e-05,0.0,0.0,0.0,nan,0.3886890138291907,0.0
